,word,index,frequency
189,different,189,-5.312115314073882
190,shirt,190,-5.3136238375157845
191,horses,191,-5.315739600735148
192,wave,192,-5.318163109949204
193,another,193,-5.318163109949204
194,giraffes,194,-5.326386089129635
195,sidewalk,195,-5.331598426547583
196,lot,196,-5.335294149879386
197,tall,197,-5.342726825781908
198,tracks,198,-5.34584015332778
199,hand,199,-5.351155157242044
200,flowers,200,-5.352723785014671
201,floor,201,-5.355553530653909
202,vase,202,-5.356813770266196
203,stand,203,-5.360604046439978
204,parking,204,-5.366634853482289
205,cars,205,-5.369823631694528
206,baby,206,-5.372381995737856
207,racket,207,-5.396362406032679
208,being,208,-5.407244623893087
209,ground,209,-5.410233170032406
210,vegetables,210,-5.410898506051627
211,grassy,211,-5.412897174271926
212,elephants,212,-5.424299041589109
213,bananas,213,-5.428015889929609
214,off,214,-5.434468620758738
215,tower,215,-5.434809394318007
216,zebras,216,-5.444054452462058
217,tie,217,-5.444742683734923
218,day,218,-5.445086977076247
219,dirt,219,-5.467724196547964
220,full,220,-5.469839853190418
221,along,221,-5.476924544531078
222,ready,222,-5.476924544531078
223,hill,223,-5.485134478205524
224,middle,224,-5.486569198681183
225,image,225,-5.4973957208873845
226,slope,226,-5.5171838345007895
227,station,227,-5.517924301028515
228,bike,228,-5.52424050259531
229,driving,229,-5.52424050259531
230,signs,230,-5.536993863748865
231,sit,231,-5.540397156880573
232,taking,232,-5.548001756265792
233,stuffed,233,-5.549147450490789
234,four,234,-5.564938265796691
235,skiing,235,-5.5703878705642556
236,skate,236,-5.586917172515465
237,cows,237,-5.592887339501969
238,grazing,238,-5.598491837758754
239,wine,239,-5.600098909217531
240,piece,240,-5.600903414490205
241,across,241,-5.605339800068501
242,beside,242,-5.611014724094526
243,above,243,-5.612234980499755
244,head,244,-5.619587954805015
245,luggage,245,-5.619998042979718
246,during,246,-5.624108200841546
247,snowy,247,-5.626995396082876
248,wii,248,-5.632379546592222
249,broccoli,249,-5.63321045648631
250,long,250,-5.650398052094902
251,refrigerator,251,-5.65974391451314
252,hat,252,-5.662308018482076
253,doing,253,-5.672198445267313
254,ski,254,-5.675228094847181
255,display,255,-5.675228094847181
256,glasses,256,-5.692718702513405
257,mountain,257,-5.6936013151038
258,hanging,258,-5.6936013151038
259,herd,259,-5.695811260754603
260,pink,260,-5.6962538365529305
261,suit,261,-5.697582740402986
262,fruit,262,-5.700245857822468
263,kites,263,-5.706487518745945
264,children,264,-5.713668878154609
265,cow,265,-5.716827012969885
266,them,266,-5.722264271494472
267,holds,267,-5.7268180134254685
268,cutting,268,-5.729102684284451
269,double,269,-5.737832351484576
270,hot,270,-5.741067852342724
271,buildings,271,-5.741994207202854
272,going,272,-5.744313855656571
273,camera,273,-5.7480365216588165
274,corner,274,-5.754584720922317
275,trick,275,-5.759759985354876
276,pole,276,-5.764014305172614
277,empty,277,-5.766385660327014
278,talking,278,-5.768286801584038
279,jumping,279,-5.771145307580001
280,pair,280,-5.771145307580001
281,airport,281,-5.773533653592301
282,swinging,282,-5.784594117392615
283,oven,283,-5.786045847625802
284,keyboard,284,-5.787014839949682
285,umbrellas,285,-5.7933362808884805
286,watching,286,-5.794312366861536
287,track,287,-5.795778284544033
288,chairs,288,-5.805112668212306
289,posing,289,-5.80906915210738
290,stove,290,-5.811549927381144
291,looks,291,-5.811549927381144
292,boats,292,-5.818529018520534
293,television,293,-5.81953001960512
294,smiling,294,-5.829089840838277
295,animals,295,-5.835683828717572
296,colorful,296,-5.836192864106524
297,video,297,-5.836192864106524
298,box,298,-5.837211712895627
299,topped,299,-5.838231600796371
300,traveling,300,-5.841809422144255
301,soccer,301,-5.847457704169665
302,crowd,302,-5.849519560570222
303,getting,303,-5.854692877850443
304,tv,304,-5.864596529295186
305,door,305,-5.868796010532506
306,various,306,-5.869322187866402
307,surf,307,-5.878841032875609
308,using,308,-5.878841032875609
309,hit,309,-5.879904297196939
310,lady,310,-5.88043635360747
311,plates,311,-5.884703026746845
312,birds,312,-5.8938306068951345
313,banana,313,-5.8970721008193046
314,who,314,-5.91343907828351
315,body,315,-5.917296895137522
316,dogs,316,-5.924501137989369
317,set,317,-5.932318039880981
318,wood,318,-5.932318039880981
319,all,319,-5.9390672218559075
320,lots,320,-5.9390672218559075
321,guy,321,-5.941327109823346
322,against,322,-5.9418928807012374
323,runway,323,-5.9418928807012374
324,motorcycles,324,-5.948137578825872
325,coffee,325,-5.952703796805453
326,carrying,326,-5.960745195680447
327,someone,327,-5.964790274874256
328,skateboarder,328,-5.967689668033259
329,players,329,-5.968270556809395
330,cheese,330,-5.9723462538632095
331,river,331,-5.975267669905344
332,house,332,-5.9776109633033165
333,paper,333,-5.9776109633033165
334,bedroom,334,-5.979372043887615
335,night,335,-5.993573465993784
336,waiting,336,-5.996557652034111
337,something,337,-5.996557652034111
338,bears,338,-6.000750530294146
339,restaurant,339,-6.003154377605542
340,be,340,-6.00375624340764
341,lights,341,-6.00375624340764
342,jet,342,-6.006167335594371
343,walk,343,-6.00858425519991
344,meat,344,-6.0097949091008065
345,snowboard,345,-6.0097949091008065
346,cup,346,-6.018921835858242
347,brick,347,-6.031222113939894
348,home,348,-6.033080274895726
349,metal,349,-6.0392992004113815
350,skier,350,-6.045557043110886
351,about,351,-6.0461849866166055
352,ramp,352,-6.046813324683148
353,bicycle,353,-6.050591666709554
354,remote,354,-6.053118515811462
355,high,355,-6.055017851615116
356,decker,356,-6.0575559240435854
357,shower,357,-6.061375152110582
358,racquet,358,-6.075505123873567
359,passenger,359,-6.0793936576132594
360,surfer,360,-6.0832973710937335
361,items,361,-6.086562147091872
362,running,362,-6.089837616774343
363,busy,363,-6.099066423211966
364,male,364,-6.1103885554817445
365,face,365,-6.113743137627898
366,hands,366,-6.117109010883002
367,line,367,-6.117109010883002
368,lying,368,-6.129320831569768
369,preparing,369,-6.132054941270235
370,animal,370,-6.141683626389451
371,intersection,371,-6.1542011750910675
372,book,372,-6.159815224923834
373,surfing,373,-6.161223675860892
374,dressed,374,-6.161928645928862
375,slice,375,-6.16334007876727
376,cut,376,-6.176848993763974
377,mouth,377,-6.177565069698618
378,rides,378,-6.178281658765469
379,pulling,379,-6.1818723268961975
380,suitcase,380,-6.184754173271086
381,like,381,-6.186198216843319
382,shown,382,-6.191995334527645
383,tray,383,-6.196365334198765
384,he,384,-6.197095527732486
385,scissors,385,-6.225997131805135
386,made,386,-6.225997131805135
387,store,387,-6.23127418890598
388,zoo,388,-6.235819651277653
389,bottle,389,-6.238100153976379
390,batter,390,-6.238861478718139
391,gray,391,-6.240385869257235
392,enclosure,392,-6.240385869257235
393,number,393,-6.247274530252421
394,screen,394,-6.251122168704491
395,bag,395,-6.2596394482233695
396,donuts,396,-6.274524172699795
397,surrounded,397,-6.276894778314132
398,bridge,398,-6.279271017056015
399,sleeping,399,-6.279271017056015
400,play,400,-6.284040501455051
401,dark,401,-6.284040501455051
402,him,402,-6.285635398124867
403,half,403,-6.288032522724588
404,knife,404,-6.288032522724588
405,microwave,405,-6.290435407340899
406,kids,406,-6.293648261510224
407,row,407,-6.297678899776393
408,jacket,408,-6.2984869806284465
409,look,409,-6.299295715003298
410,carrots,410,-6.299295715003298
411,sand,411,-6.306603908310024
412,tub,412,-6.307419236524778
413,way,413,-6.31150587891023
414,silver,414,-6.318904186391675
415,decorated,415,-6.319729609467842
416,lake,416,-6.320555714430148
417,showing,417,-6.321382502406143
418,pile,418,-6.3263576370462555
419,between,419,-6.32968819799342
420,buses,420,-6.331357647462962
421,walks,421,-6.334704930923019
422,meal,422,-6.33722276691536
423,forest,423,-6.33722276691536
424,toy,424,-6.339746958411267
425,adult,425,-6.342277537576983
426,few,426,-6.346509452483565
427,lined,427,-6.350759352632894
428,skiers,428,-6.350759352632894
429,colored,429,-6.354172325229133
430,cabinets,430,-6.362756068920525
431,older,431,-6.364481694887994
432,oranges,432,-6.366210303788613
433,boys,433,-6.375771437032595
434,furniture,434,-6.376645181081193
435,purple,435,-6.378394962804979
436,swing,436,-6.387190094257807
437,mouse,437,-6.388958441314548
438,past,438,-6.395172398282492
439,girls,439,-6.397847388731794
440,kid,440,-6.406816058714554
441,cloudy,441,-6.409522420312298
442,grey,442,-6.412236126183894
443,photograph,443,-6.417685730951458
444,bread,444,-6.419508885512974
445,seat,445,-6.421335370039008
446,``,446,-6.427754465899726
447,throwing,447,-6.428674852527054
448,outdoor,448,-6.430518171021344
449,displayed,449,-6.4397860779521245
450,waves,450,-6.442583282573187
451,onto,451,-6.450080974678986
452,crossing,452,-6.4510221512190515
453,chocolate,453,-6.4510221512190515
454,can,454,-6.4614339821439835
455,making,455,-6.462385909869365
456,coming,456,-6.464292488139948
457,attached,457,-6.465247142150398
458,have,458,-6.465247142150398
459,drinking,459,-6.466202708396066
460,leaning,460,-6.476774647321465
461,drink,461,-6.4825886171868845
462,hair,462,-6.484534143092377
463,monitor,463,-6.485508327290219
464,cats,464,-6.488436587069309
465,dining,465,-6.493336155910466
466,scene,466,-6.494318956972375
467,fruits,467,-6.494318956972375
468,hitting,468,-6.498259848772252
469,seen,469,-6.5022163326673255
470,rocks,470,-6.5022163326673255
471,apples,471,-6.50519400236125
472,lush,472,-6.508180565059
473,fork,473,-6.509178071376125
474,shelf,474,-6.516188615862342
475,female,475,-6.518200688975762
476,salad,476,-6.519208245736062
477,apple,477,-6.522237021398222
478,meter,478,-6.522237021398222
479,watch,479,-6.535468766607842
480,birthday,480,-6.536493882023088
481,office,481,-6.541635281523506
482,market,482,-6.542666741130169
483,lit,483,-6.548877941222809
484,no,484,-6.550956944050643
485,resting,485,-6.551998068559053
486,stone,486,-6.553040278137496
487,towards,487,-6.565632259834857
488,pan,488,-6.565632259834857
489,painted,489,-6.566688783969056
490,cross,490,-6.574115873812673
491,walls,491,-6.57518140401471
492,fries,492,-6.577315876543343
493,leaves,493,-6.584822614207097
494,rain,494,-6.58697778745508
495,sunny,495,-6.59021928137925
496,teeth,496,-6.591302118518083
497,snowboarder,497,-6.592386129464341
498,plastic,498,-6.597823880764469
499,catch,499,-6.598914988346804
500,bright,500,-6.601100781566785
501,flower,501,-6.601100781566785
502,clean,502,-6.607686974419641
503,been,503,-6.609892046977956
504,working,504,-6.610996409321009
505,public,505,-6.610996409321009
506,blanket,506,-6.612101992628759
507,setting,507,-6.614316832958311
508,dish,508,-6.622107634746079
509,beautiful,509,-6.624344772144436
510,sun,510,-6.625465220440926
511,windows,511,-6.626586925550125
512,books,512,-6.6367392970141434
513,tables,513,-6.637873727084756
514,surfboards,514,-6.640146455335758
515,moving,515,-6.640146455335758
516,mountains,516,-6.640146455335758
517,police,517,-6.648141929111956
518,bikes,518,-6.649289376168433
519,pictures,519,-6.649289376168433
520,trying,520,-6.6538923762403925
521,uniform,521,-6.6538923762403925
522,donut,522,-6.6538923762403925
523,rail,523,-6.655046444458501
524,edge,524,-6.660836848593204
525,stopped,525,-6.661998963773382
526,clear,526,-6.669000159232365
527,bath,527,-6.670171805529256
528,underneath,528,-6.67251922444756
529,helmet,529,-6.677230658368881
530,ride,530,-6.678411993414711
531,platform,531,-6.685529461183576
532,rock,532,-6.686720646553729
533,slices,533,-6.6891072825314595
534,skateboarding,534,-6.69149962817008
535,having,535,-6.692697950662188
536,yard,536,-6.699918198635675
537,statue,537,-6.703547966686253
538,cellphone,538,-6.704760823111464
539,dress,539,-6.705975152343864
540,eat,540,-6.708408243568506
541,base,541,-6.7096270127626365
542,time,542,-6.712069016418187
543,nice,543,-6.713292258160932
544,controller,544,-6.716970987018394
545,shot,545,-6.731822745154421
546,branch,546,-6.736822755571126
547,pitch,547,-6.743108131386087
548,vases,548,-6.746898407559868
549,sandy,549,-6.748165032175061
550,path,550,-6.753247635238527
551,computers,551,-6.753247635238527
552,or,552,-6.755798657030132
553,passing,553,-6.755798657030132
554,motor,554,-6.755798657030132
555,placed,555,-6.760920307150187
556,sauce,556,-6.7634910026532875
557,pieces,557,-6.764778832837717
558,'',558,-6.766068323667588
559,family,559,-6.7686523044335125
560,country,560,-6.7686523044335125
561,doughnut,561,-6.769946802996159
562,shore,562,-6.769946802996159
563,vehicle,563,-6.771242979457606
564,boards,564,-6.7738403835152905
565,cart,565,-6.7738403835152905
566,brushing,566,-6.7751416198732635
567,case,567,-6.779055519194399
568,eaten,568,-6.779055519194399
569,town,569,-6.78429799515925
570,perched,570,-6.785612919740558
571,dinner,571,-6.7935389850129795
572,tarmac,572,-6.7935389850129795
573,cooking,573,-6.794866125221041
574,surface,574,-6.7975257012568004
575,catcher,575,-6.7975257012568004
576,just,576,-6.800192369503716
577,wet,577,-6.800192369503716
578,nintendo,578,-6.808235308303177
579,basket,579,-6.81228116682272
580,types,580,-6.8163434608315985
581,plant,581,-6.8163434608315985
582,doughnuts,582,-6.8272576210122775
583,pizzas,583,-6.82863030482425
584,hotel,584,-6.830004875487415
585,enjoying,585,-6.831381338196138
586,single,586,-6.834139960635218
587,trains,587,-6.834139960635218
588,toppings,588,-6.834139960635218
589,watches,589,-6.83552213086217
590,reading,590,-6.83552213086217
591,laptops,591,-6.8396801410108345
592,lap,592,-6.841069995299888
593,others,593,-6.843855512421314
594,guys,594,-6.843855512421314
595,modern,595,-6.84525118606029
596,they,596,-6.846648810326927
597,variety,597,-6.85085344160896
598,tiled,598,-6.853666382985574
599,lamp,599,-6.853666382985574
600,engine,600,-6.853666382985574
601,trucks,601,-6.860733550208666
602,multiple,602,-6.864997948995123
603,performing,603,-6.864997948995123
604,pitcher,604,-6.866423465986346
605,rice,605,-6.866423465986346
606,pretty,606,-6.869280610787124
607,jump,607,-6.869280610787124
608,gathered,608,-6.872145942260412
609,tricks,609,-6.872145942260412
610,shows,610,-6.873581692686516
611,bowls,611,-6.875019507456143
612,mounted,612,-6.88223975542963
613,appliances,613,-6.883690082007277
614,benches,614,-6.88805372529505
615,cute,615,-6.88805372529505
616,woods,616,-6.88951251475871
617,passengers,617,-6.8939016951774725
618,phones,618,-6.895369046871423
619,five,619,-6.904218662148406
620,pen,620,-6.904218662148406
621,shop,621,-6.905701242108629
622,bathtub,622,-6.907186023376207
623,feeding,623,-6.907186023376207
624,beer,624,-6.910162216049253
625,fresh,625,-6.911653640635922
626,gear,626,-6.9176416824805465
627,pasture,627,-6.919144312365081
628,post,628,-6.9221563628350715
629,plants,629,-6.9236657970839275
630,candles,630,-6.925177513169249
631,place,631,-6.926691518000464
632,dirty,632,-6.929726421695618
633,cattle,633,-6.937354223744505
634,railroad,634,-6.937354223744505
635,flies,635,-6.940421710812366
636,curb,636,-6.941958990131251
637,distance,637,-6.951232626916582
638,fenced,638,-6.960593069676145
639,graffiti,639,-6.960593069676145
640,end,640,-6.963732789680813
641,drinks,641,-6.968460930876759
642,carriage,642,-6.968460930876759
643,brush,643,-6.974800096320495
644,vintage,644,-6.977984812388014
645,fly,645,-6.9795809819208365
646,match,646,-6.9795809819208365
647,poles,647,-6.982780984651507
648,toothbrush,648,-6.984384834233483
649,containing,649,-6.987600271087457
650,after,650,-6.987600271087457
651,chicken,651,-6.990826080336339
652,take,652,-6.992442895563244
653,bags,653,-6.994062329115547
654,concrete,654,-6.9956843894874154
655,sandwiches,655,-6.9956843894874154
656,school,656,-6.998936424873792
657,below,657,-7.00219907050861
658,crowded,658,-7.0104025619614365
659,left,659,-7.012051366951621
660,shoes,660,-7.01535715508612
661,planes,661,-7.018673907712113
662,bar,662,-7.020336418485728
663,fireplace,663,-7.025340599070303
664,pulled,664,-7.027014239628333
665,bottles,665,-7.030369947475306
666,center,666,-7.03373695402321
667,tile,667,-7.037115335614837
668,dock,668,-7.037115335614837
669,sliced,669,-7.037115335614837
670,steel,670,-7.03880881612117
671,sofa,671,-7.040505169369348
672,alone,672,-7.042204405122307
673,fridge,673,-7.049030370192709
674,huge,674,-7.049030370192709
675,right,675,-7.054180596169024
676,beds,676,-7.054180596169024
677,boxes,677,-7.057628875447939
678,skateboards,678,-7.059357484348558
679,well,679,-7.062823692325043
680,pot,680,-7.062823692325043
681,she,681,-7.062823692325043
682,takes,682,-7.064561312223585
683,striped,683,-7.064561312223585
684,neck,684,-7.066301956701368
685,trunk,685,-7.066301956701368
686,pillows,686,-7.075050918894604
687,served,687,-7.078572049293182
688,nearby,688,-7.0821056218744936
689,control,689,-7.085651724881245
690,catching,690,-7.085651724881245
691,flat,691,-7.087429503127243
692,equipment,692,-7.090994569291739
693,sinks,693,-7.094572390639623
694,bushes,694,-7.094572390639623
695,reaching,695,-7.098163058770352
696,church,696,-7.098163058770352
697,clothes,697,-7.0999632392745
698,feet,698,-7.0999632392745
699,plays,699,-7.0999632392745
700,floating,700,-7.101766666273651
701,rack,701,-7.1035733514986
702,tomatoes,702,-7.1035733514986
703,suitcases,703,-7.1035733514986
704,dry,704,-7.107196543868021
705,giant,705,-7.1108329115114035
706,atop,706,-7.118145558357691
707,putting,707,-7.118145558357691
708,foods,708,-7.118145558357691
709,pose,709,-7.119982106164992
710,commercial,710,-7.119982106164992
711,airplanes,711,-7.119982106164992
712,container,712,-7.121822033087
713,polar,713,-7.125512074174454
714,poses,714,-7.129215782111938
715,mother,715,-7.13293325851207
716,bicycles,716,-7.134797191950133
717,professional,717,-7.134797191950133
718,including,718,-7.136664606124928
719,shaped,719,-7.13853551406074
720,towel,720,-7.142287863679291
721,work,721,-7.142287863679291
722,away,722,-7.142287863679291
723,vehicles,723,-7.147942921162635
724,space,724,-7.149835069314673
725,serving,725,-7.149835069314673
726,not,726,-7.149835069314673
727,lone,727,-7.151730804479573
728,run,728,-7.151730804479573
729,prepares,729,-7.151730804479573
730,staring,730,-7.15553309042931
731,potatoes,731,-7.15553309042931
732,dessert,732,-7.15553309042931
733,taken,733,-7.157439668699892
734,smiles,734,-7.159349888956012
735,subway,735,-7.159349888956012
736,hay,736,-7.159349888956012
737,both,737,-7.161263765138296
738,wild,738,-7.161263765138296
739,serve,739,-7.1670274698550465
740,cream,740,-7.1670274698550465
741,surfers,741,-7.170888478512506
742,dishes,742,-7.172824587539372
743,sticking,743,-7.172824587539372
744,style,744,-7.1747644523571985
745,legs,745,-7.178655507850165
746,cabinet,746,-7.180606727981427
747,arm,747,-7.1864833364704115
748,breakfast,748,-7.190420349429752
749,cement,749,-7.19239468373347
750,christmas,750,-7.19239468373347
751,trail,751,-7.194372923745576
752,lays,752,-7.198341182921196
753,asian,753,-7.200331233329205
754,show,754,-7.20232525193607
755,wire,755,-7.208331275996281
756,outdoors,756,-7.210341326924306
757,highway,757,-7.216395835833012
758,cooked,758,-7.218422178978244
759,couches,759,-7.220452636528627
760,games,760,-7.2224872252264145
761,swings,761,-7.2224872252264145
762,painting,762,-7.226568863546063
763,square,763,-7.228615947167787
764,shorts,764,-7.228615947167787
765,backpack,765,-7.230667229938344
766,stacked,766,-7.230667229938344
767,where,767,-7.230667229938344
768,spoon,768,-7.236846446304304
769,pool,769,-7.238914699368362
770,reflection,770,-7.245145249118998
771,cluttered,771,-7.247230755610019
772,throw,772,-7.249320620529479
773,military,773,-7.251414862132593
774,round,774,-7.2535134987895145
775,boarding,775,-7.2535134987895145
776,french,776,-7.259835964529001
777,business,777,-7.259835964529001
778,soup,778,-7.264073259004517
779,drives,779,-7.268328584574656
780,toward,780,-7.270463057103289
781,docked,781,-7.270463057103289
782,blender,782,-7.272602095352038
783,assortment,783,-7.281204298934702
784,controllers,784,-7.283366461939195
785,get,785,-7.285533310024286
786,team,786,-7.285533310024286
787,hillside,787,-7.285533310024286
788,same,788,-7.287704863537794
789,lawn,789,-7.28988114296039
790,sunglasses,790,-7.294247962126731
791,swimming,791,-7.294247962126731
792,go,792,-7.3008341549795865
793,adults,793,-7.307464013518256
794,garden,794,-7.307464013518256
795,clocks,795,-7.307464013518256
796,van,796,-7.309683770256569
797,umpire,797,-7.31190846527868
798,wedding,798,-7.3186124010008715
799,stairs,799,-7.320857070854695
800,mid,800,-7.320857070854695
801,wooded,801,-7.32310679058871
802,hotdog,802,-7.32310679058871
803,jumps,803,-7.3253615829758
804,among,804,-7.3253615829758
805,bun,805,-7.3253615829758
806,drawn,806,-7.327621470943237
807,eats,807,-7.327621470943237
808,stall,808,-7.329886477574089
809,seated,809,-7.329886477574089
810,ledge,810,-7.3321566261086275
811,low,811,-7.3367124426444885
812,rackets,812,-7.3412891096719015
813,skies,813,-7.343585321932251
814,toddler,814,-7.350505764776825
815,shelves,815,-7.3528232629171875
816,flag,816,-7.3528232629171875
817,rocky,817,-7.355146144333327
818,which,818,-7.357474434092918
819,restroom,819,-7.359808157439138
820,assorted,820,-7.36214733979231
821,desktop,821,-7.36214733979231
822,rug,822,-7.366842184096518
823,onions,823,-7.366842184096518
824,trash,824,-7.369197897788977
825,event,825,-7.369197897788977
826,snowboarding,826,-7.369197897788977
827,gate,827,-7.371559173974656
828,does,828,-7.376298519338553
829,fish,829,-7.376298519338553
830,pillow,830,-7.378676641743521
831,things,831,-7.3810604330987974
832,landing,832,-7.3810604330987974
833,eyes,833,-7.3810604330987974
834,stainless,834,-7.385845131222133
835,cups,835,-7.3882460927596725
836,clouds,836,-7.390652832790236
837,broken,837,-7.393065379195621
838,land,838,-7.393065379195621
839,facing,839,-7.395483760059902
840,glove,840,-7.395483760059902
841,kitten,841,-7.395483760059902
842,flock,842,-7.400338138524701
843,foot,843,-7.402774193322582
844,ice,844,-7.402774193322582
845,closeup,845,-7.405216196978133
846,skating,846,-7.407664178616773
847,floors,847,-7.410118167578339
848,party,848,-7.412578193419202
849,before,849,-7.415044285914396
850,desert,850,-7.417516475059784
851,steps,851,-7.427466805912953
852,arms,852,-7.432479347736498
853,friends,853,-7.434995072333745
854,eggs,854,-7.434995072333745
855,doors,855,-7.437517141766454
856,cakes,856,-7.440045588119814
857,race,857,-7.442580443723001
858,trailer,858,-7.442580443723001
